code,current_event_fixture,draw,form,id,link_url,loss,name,next_event_fixture,played,points,position,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win
3,"[{'is_home': False, 'day': 12, 'event_day': 1, 'month': 1, 'id': 220, 'opponent': 19}]",0,None,1,,0,Arsenal,"[{'is_home': True, 'day': 19, 'event_day': 1, 'month': 1, 'id': 221, 'opponent': 6}]",0,0,0,ARS,4,1270,1240,1340,1310,1330,1290,1,False,0
91,"[{'is_home': False, 'day': 13, 'event_day': 2, 'month': 1, 'id': 216, 'opponent': 8}]",0,None,2,,0,Bournemouth,"[{'is_home': True, 'day': 19, 'event_day': 1, 'month': 1, 'id': 222, 'opponent': 19}]",0,0,0,BOU,3,1100,1040,1130,1120,1130,1070,1,False,0
36,"[{'is_home': True, 'day': 12, 'event_day': 1, 'month': 1, 'id': 211, 'opponent': 12}]",0,None,3,,0,Brighton,"[{'is_home': False, 'day': 19, 'event_day': 1, 'month': 1, 'id': 226, 'opponent': 14}]",0,0,0,BHA,3,1140,1040,1070,1010,1110,1040,1,False,0
90,"[{'is_home': True, 'day': 12, 'event_day': 1, 'month': 1, 'id': 212, 'opponent': 9}]",0,None,4,,0,Burnley,"[{'is_home': False, 'day': 19, 'event_day': 1, 'month': 1, 'id': 229, 'opponent': 18}]",0,0,0,BUR,2,1030,990,1040,1000,1020,1010,1,False,0
97,"[{'is_home': True, 'day': 12, 'event_day': 1, 'month': 1, 'id': 213, 'opponent': 10}]",0,None,5,,0,Cardiff,"[{'is_home': False, 'day': 19, 'event_day': 1, 'month': 1, 'id': 227, 'opponent': 15}]",0,0,0,CAR,2,1060,1030,1090,1020,1060,1000,1,False,0
8,"[{'is_home': True, 'day': 12, 'event_day': 1, 'month': 1, 'id': 214, 'opponent': 15}]",0,None,6,,0,Chelsea,"[{'is_home': False, 'day': 19, 'event_day': 1, 'month': 1, 'id': 221, 'opponent': 1}]",0,0,0,CHE,4,1340,1270,1330,1320,1320,1310,1,False,0
31,"[{'is_home': True, 'day': 12, 'event_day': 1, 'month': 1, 'id': 215, 'opponent': 18}]",0,None,7,,0,Crystal Palace,"[{'is_home': False, 'day': 19, 'event_day': 1, 'month': 1, 'id': 225, 'opponent': 12}]",0,0,0,CRY,2,1180,1030,1050,1030,1080,1060,1,False,0
11,"[{'is_home': True, 'day': 13, 'event_day': 2, 'month': 1, 'id': 216, 'opponent': 2}]",0,None,8,,0,Everton,"[{'is_home': False, 'day': 19, 'event_day': 1, 'month': 1, 'id': 228, 'opponent': 16}]",0,0,0,EVE,3,1120,1070,1230,1140,1210,1140,1,False,0
54,"[{'is_home': False, 'day': 12, 'event_day': 1, 'month': 1, 'id': 212, 'opponent': 4}]",0,None,9,,0,Fulham,"[{'is_home': True, 'day': 20, 'event_day': 2, 'month': 1, 'id': 223, 'opponent': 17}]",0,0,0,FUL,2,1030,1000,1080,1000,1030,1000,1,False,0
38,"[{'is_home': False, 'day': 12, 'event_day': 1, 'month': 1, 'id': 213, 'opponent': 5}]",0,None,10,,0,Huddersfield,"[{'is_home': True, 'day': 20, 'event_day': 2, 'month': 1, 'id': 224, 'opponent': 13}]",0,0,0,HUD,2,1060,1030,1010,990,1020,1020,1,False,0
13,"[{'is_home': True, 'day': 12, 'event_day': 1, 'month': 1, 'id': 217, 'opponent': 16}]",0,None,11,,0,Leicester,"[{'is_home': False, 'day': 19, 'event_day': 1, 'month': 1, 'id': 230, 'opponent': 20}]",0,0,0,LEI,3,1180,1130,1140,1080,1170,1130,1,False,0
14,"[{'is_home': False, 'day': 12, 'event_day': 1, 'month': 1, 'id': 211, 'opponent': 3}]",0,None,12,,0,Liverpool,"[{'is_home': True, 'day': 19, 'event_day': 1, 'month': 1, 'id': 225, 'opponent': 7}]",0,0,0,LIV,5,1360,1330,1340,1330,1350,1330,1,False,0
43,"[{'is_home': True, 'day': 14, 'event_day': 3, 'month': 1, 'id': 218, 'opponent': 20}]",0,None,13,,0,Man City,"[{'is_home': False, 'day': 20, 'event_day': 2, 'month': 1, 'id': 224, 'opponent': 10}]",0,0,0,MCI,5,1330,1320,1360,1340,1350,1320,1,False,0
1,"[{'is_home': False, 'day': 13, 'event_day': 2, 'month': 1, 'id': 219, 'opponent': 17}]",0,None,14,,0,Man Utd,"[{'is_home': True, 'day': 19, 'event_day': 1, 'month': 1, 'id': 226, 'opponent': 3}]",0,0,0,MUN,4,1260,1250,1340,1310,1290,1280,1,False,0
4,"[{'is_home': False, 'day': 12, 'event_day': 1, 'month': 1, 'id': 214, 'opponent': 6}]",0,None,15,,0,Newcastle,"[{'is_home': True, 'day': 19, 'event_day': 1, 'month': 1, 'id': 227, 'opponent': 5}]",0,0,0,NEW,3,1110,1070,1050,1030,1090,1080,1,False,0
20,"[{'is_home': False, 'day': 12, 'event_day': 1, 'month': 1, 'id': 217, 'opponent': 11}]",0,None,16,,0,Southampton,"[{'is_home': True, 'day': 19, 'event_day': 1, 'month': 1, 'id': 228, 'opponent': 8}]",0,0,0,SOU,2,1070,1040,1100,1100,1050,1040,1,False,0
6,"[{'is_home': True, 'day': 13, 'event_day': 2, 'month': 1, 'id': 219, 'opponent': 14}]",0,None,17,,0,Spurs,"[{'is_home': False, 'day': 20, 'event_day': 2, 'month': 1, 'id': 223, 'opponent': 9}]",0,0,0,TOT,5,1340,1270,1340,1320,1350,1330,1,False,0
57,"[{'is_home': False, 'day': 12, 'event_day': 1, 'month': 1, 'id': 215, 'opponent': 7}]",0,None,18,,0,Watford,"[{'is_home': True, 'day': 19, 'event_day': 1, 'month': 1, 'id': 229, 'opponent': 4}]",0,0,0,WAT,3,1100,1100,1150,1130,1160,1120,1,False,0
21,"[{'is_home': True, 'day': 12, 'event_day': 1, 'month': 1, 'id': 220, 'opponent': 1}]",0,None,19,,0,West Ham,"[{'is_home': False, 'day': 19, 'event_day': 1, 'month': 1, 'id': 222, 'opponent': 2}]",0,0,0,WHU,3,1100,1090,1150,1120,1190,1150,1,False,0
39,"[{'is_home': False, 'day': 14, 'event_day': 3, 'month': 1, 'id': 218, 'opponent': 13}]",0,None,20,,0,Wolves,"[{'is_home': True, 'day': 19, 'event_day': 1, 'month': 1, 'id': 230, 'opponent': 11}]",0,0,0,WOL,3,1200,1180,1100,1080,1150,1130,1,False,0
